Acumulado;Fecha acumulado   ;fecha           
297,364;1997-09-08 08:00:00;1997-09-08 00:00:00
294,241;1997-09-09 08:00:00;1997-09-09 00:00:00
290,37;1997-09-10 08:00:00;1997-09-10 00:00:00
286,228;1997-09-11 08:00:00;1997-09-11 00:00:00
281,824;1997-09-12 08:00:00;1997-09-12 00:00:00
277,765;1997-09-13 08:00:00;1997-09-13 00:00:00
273,895;1997-09-14 08:00:00;1997-09-14 00:00:00
269,975;1997-09-15 08:00:00;1997-09-15 00:00:00
266,261;1997-09-16 08:00:00;1997-09-16 00:00:00
262,786;1997-09-17 08:00:00;1997-09-17 00:00:00
258,77;1997-09-18 08:00:00;1997-09-18 00:00:00
255,077;1997-09-19 08:00:00;1997-09-19 00:00:00
251,698;1997-09-20 08:00:00;1997-09-20 00:00:00
248,487;1997-09-21 08:00:00;1997-09-21 00:00:00
245,303;1997-09-22 08:00:00;1997-09-22 00:00:00
242,418;1997-09-23 08:00:00;1997-09-23 00:00:00
239,555;1997-09-24 08:00:00;1997-09-24 00:00:00
236,579;1997-09-25 08:00:00;1997-09-25 00:00:00
233,76;1997-09-26 08:00:00;1997-09-26 00:00:00
230,963;1997-09-27 08:00:00;1997-09-27 00:00:00
228,054;1997-09-28 08:00:00;1997-09-28 00:00:00
225,169;1997-09-29 08:00:00;1997-09-29 00:00:00
222,306;1997-09-30 08:00:00;1997-09-30 00:00:00
219,337;1997-10-01 08:00:00;1997-10-01 00:00:00
216,648;1997-10-02 08:00:00;1997-10-02 00:00:00
214,232;1997-10-03 08:00:00;1997-10-03 00:00:00
211,833;1997-10-04 08:00:00;1997-10-04 00:00:00
209,451;1997-10-05 08:00:00;1997-10-05 00:00:00
206,96;1997-10-06 08:00:00;1997-10-06 00:00:00
204,734;1997-10-07 08:00:00;1997-10-07 00:00:00
202,645;1997-10-08 08:00:00;1997-10-08 00:00:00
200,569;1997-10-09 08:00:00;1997-10-09 00:00:00
198,506;1997-10-10 08:00:00;1997-10-10 00:00:00
196,456;1997-10-11 08:00:00;1997-10-11 00:00:00
194,298;1997-10-12 08:00:00;1997-10-12 00:00:00
192,393;1997-10-13 08:00:00;1997-10-13 00:00:00
192,274;1997-10-14 08:00:00;1997-10-14 00:00:00
192,274;1997-10-15 08:00:00;1997-10-15 00:00:00
192,274;1997-10-16 08:00:00;1997-10-16 00:00:00
